Zip Code,Listings,Average of price/sqft,Neighborhood
37080,1,8.57,Joelton
37218,10,11.28,West Nashville
37072,3,11.38,Parkwood
37217,46,11.44,Hermitage/Antioch
37221,32,12.31,Bellevue
37138,15,12.37,Old Hickory
37211,82,12.72,Southeast (near Antioch)
37207,43,13.01,Brick Church Bellshire
37116,29,13.02,Madison
37011,78,13.23,Antioch
37115,30,13.43,Northeast
37214,29,13.93,Donelson
37013,33,14.00,Antioch
37076,50,14.48,South Hermitage
37220,2,15.23,South (near Brentwood)
37070,26,15.43,Parkwood
37216,19,15.59,East Nashville
37210,66,16.41,South Nashville
37205,61,17.43,West Meade
37209,49,18.55,Bells Bend
37206,70,19.25,East Nashville
37213,8,19.42,East Nashville
37212,65,20.43,Green Hills
37208,60,21.37,Elizabeth Park
37204,91,22.53,Berry Hill
37228,4,22.75,Metro Center
37201,30,22.87,Downtown
37215,38,25.64,Green Hills/Forest Hills
37203,78,26.01,Music Row
37202,32,26.63,East Nashville
37238,6,26.96,East Nashville
37240,31,27.65,Midtown
37219,13,33.52,Downtown
37229,1,35.82,Downtown
,,,
